Model,K,EvalUsers,UserCoverageInTest,Accuracy@K,NDCG@K,Diversity,Personalisation,Coverage,UniqueRecommendedItems,CatalogSize
hybrid_tfidf_als_recs,10,5000,1.0,0.00662,0.016416476507889303,0.4343511111111112,0.9961439653054204,0.13577290702064662,13665,100646
als_recs,10,5000,1.0,0.0051600000000000005,0.010532624196280885,0.529584126984127,0.9937314008059364,0.07247183196550284,7294,100646
context_als_recs,10,5000,1.0,0.0051600000000000005,0.010532624196280885,0.529584126984127,0.9937314008059364,0.07247183196550284,7294,100646
content_tfidf_recs,10,5000,1.0,0.004079999999999999,0.01059552370543891,0.22355365079365078,0.9970452465362295,0.17842735925918565,17958,100646
popular_global_recs,10,5000,1.0,0.004,0.008424430775767251,0.6371987301587304,0.03565947385947388,0.0001689088488365161,17,100646
content_bow_recs,10,5000,1.0,0.002,0.005370050494842178,0.07792952380952381,0.998704858677614,0.20677423841980805,20811,100646
content_lemma_tfidf_recs,10,5000,1.0,0.00176,0.0051027814622597745,0.1466520634920635,0.9974657163828603,0.18422987500745186,18542,100646
content_ner_tfidf_recs,10,5000,1.0,0.0007,0.0017440795646108246,0.14994349206349208,0.9962123421083561,0.23643264511257278,23796,100646
content_bert_recs,10,5000,1.0,0.00056,0.0011439550005794903,0.2787142857142858,0.9886239187712872,0.09166782584504103,9226,100646
random_normal_recs,10,5000,1.0,2e-05,2.6025336666140108e-05,0.6410450793650796,0.9984695906432749,0.061542435864316514,6194,100646
